Day,Category,Product,Sales
1,A,A1,100.0
2,A,A1,101.0
3,A,A1,102.01
4,A,A1,103.0301
5,A,A1,104.060401
6,A,A1,105.10100501
7,A,A1,113.0
8,A,A1,106.0
9,A,A1,107.06
10,A,A1,108.1306
11,A,A1,109.211906
12,A,A1,110.30402506
13,A,A1,111.4070653106
14,A,A1,120.0
15,A,A1,112.0
16,A,A1,113.12
17,A,A1,114.25120000000001
18,A,A1,115.39371200000001
19,A,A1,116.54764912
20,A,A1,117.7131256112
21,A,A1,126.0
22,A,A1,120.0
23,A,A1,121.2
24,A,A1,122.412
25,A,A1,123.63612
26,A,A1,124.87248120000001
27,A,A1,126.12120601200002
28,A,A1,135.0
29,A,A1,129.0
30,A,A1,130.29
31,A,A1,131.5929
32,A,A1,132.908829
33,A,A1,134.23791728999998
34,A,A1,135.58029646289998
35,A,A1,146.0
36,A,A1,138.0
37,A,A1,139.38
38,A,A1,140.7738
39,A,A1,142.181538
40,A,A1,143.60335338
41,A,A1,145.0393869138
42,A,A1,150.0
43,A,A1,145.0
44,A,A1,146.45
45,A,A1,147.9145
46,A,A1,149.393645
47,A,A1,150.88758145
48,A,A1,160.0
49,A,A1,154.0
50,A,A1,155.54
51,A,A1,157.09539999999998
52,A,A1,158.66635399999998
53,A,A1,160.25301753999997
54,A,A1,161.85554771539998
55,A,A1,163.47410319255397
56,A,A1,170.0
57,A,A1,163.0
58,A,A1,164.63
59,A,A1,166.2763
60,A,A1,167.939063
61,A,A1,169.61845363
62,A,A1,171.3146381663
63,A,A1,180.0
64,A,A1,175.0
65,A,A1,176.75
66,A,A1,177.0
67,A,A1,178.0
68,A,A1,178.0
69,A,A1,178.0
70,A,A1,195.0
71,A,A1,180.0
72,A,A1,180.89999999999998
73,A,A1,181.80449999999996
74,A,A1,182.71352249999995
75,A,A1,183.62709011249993
76,A,A1,184.54522556306242
77,A,A1,195.0
78,A,A1,187.0
79,A,A1,187.93499999999997
80,A,A1,188.87467499999997
81,A,A1,189.81904837499994
82,A,A1,190.7681436168749
83,A,A1,191.72198433495927
84,A,A1,210.0
85,A,A1,196.0
86,A,A1,196.98
87,A,A1,197.96489999999997
88,A,A1,198.95472449999994
89,A,A1,199.94949812249993
90,A,A1,200.94924561311242
