Day,Category,Product,Sales
61,B,B2,10.0
62,B,B2,20.0
63,B,B2,40.0
64,B,B2,80.0
65,B,B2,144.0
66,B,B2,259.2
67,B,B2,300.0
68,B,B2,450.0
69,B,B2,560.0
70,B,B2,840.0
71,B,B2,1000.0
72,B,B2,1500.0
73,B,B2,2250.0
74,B,B2,2700.0
75,B,B2,3186.0
76,B,B2,3695.7599999999998
77,B,B2,3991.4208
78,B,B2,4310.734464
79,B,B2,4440.05649792
80,B,B2,4573.2581928576
81,B,B2,4710.455938643328
82,B,B2,4748.139586152475
83,B,B2,4786.124702841695
84,B,B2,4824.413700464428
85,B,B2,4863.009010068144
86,B,B2,4901.913082148689
87,B,B2,4941.128386805878
88,B,B2,4980.657413900325
89,B,B2,4900.0
90,B,B2,4850.0
